experiment_id,sample_id,explained_class,score_from_explanation,fused_inference_score,scientific_reference_score,additivity_absolute_error,scientific_score_absolute_error
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B2:778,5,3.6501863,3.65018559,3.650186319801198,7.100000001258877e-07,1.9801198014590682e-08
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B6:0,2,41.5464745,41.5464897,41.54648525316758,1.5199999999992997e-05,1.0753167579480305e-05
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B6:1,2,34.8733101,34.8733101,34.87330867904179,0.0,1.4209582062107984e-06
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B6:23,1,21.4146023,21.4145966,21.414599631533047,5.699999999109195e-06,2.668466951405435e-06
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B6:24,1,19.4830933,19.4831009,19.48309885690831,7.5999999999964984e-06,5.556908309500841e-06
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B6:387,1,8.88432884,8.88432693,8.884327647927451,1.90999999993835e-06,1.192072549116574e-06
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B6:388,1,9.21174526,9.21174812,9.211747794463731,2.8599999986056446e-06,2.5344637304414164e-06
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B6:389,1,9.25815201,9.2581501,9.258148395258296,1.90999999993835e-06,3.6147417041831886e-06
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B6:390,1,8.76747036,8.76747227,8.767470665821731,1.90999999993835e-06,3.058217306062261e-07
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B6:391,1,8.53729534,8.5372963,8.53729559614123,9.599999994946984e-07,2.561412291157694e-07
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B6:488,3,2.80104637,2.80104566,2.8010466815963193,7.099999996817985e-07,3.115963194133542e-07
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B6:1461,3,1.97362101,1.97362089,1.9736210130117668,1.199999999368373e-07,3.0117668359253003e-09
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B6:1463,3,2.046736,2.04673529,2.0467360779426156,7.100000001258877e-07,7.794261547289238e-08
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B6:1464,3,2.00402546,2.00402474,2.0040251543609227,7.199999996210238e-07,3.0563907715830396e-07
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B6:1539,1,1.90070081,1.90069866,1.900698734869251,2.150000000034069e-06,2.075130749012999e-06
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B6:1562,1,1.88391697,1.88391662,1.883916460150358,3.500000000933312e-07,5.098496420608001e-07
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B10:0,1,4.9766283,4.97663069,4.976630282127541,2.3900000005738775e-06,1.982127541211298e-06
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B10:1,1,2.63506269,2.63506436,2.635063989348007,1.6700000000646753e-06,1.2993480069667385e-06
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B10:2,1,8.638484,8.63848686,8.63848783169373,2.8600000003820014e-06,3.831693730305119e-06
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B10:3,2,5.47263765,5.47264194,5.472639714433333,4.289999999684824e-06,2.0644333327268782e-06
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B10:4,1,7.00820446,7.00820398,7.008203939522327,4.799999997473492e-07,5.204776734046845e-07
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B10:9,3,13.0269041,13.0269022,13.026902943996111,1.8999999991109462e-06,1.156003888169721e-06
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B10:11,3,9.41614342,9.41614723,9.416146288793305,3.810000000825653e-06,2.868793306021189e-06
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B10:123,2,8.68996525,8.68996906,8.689966762142964,3.809999999049296e-06,1.512142963733254e-06
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B10:125,2,26.947464,26.947464,26.94746148979612,0.0,2.510203881200823e-06
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B10:840,1,8.14052677,8.14053059,8.14053076988526,3.8199999998767e-06,3.9998852603417845e-06
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B10:842,1,14.036047,14.0360498,14.036047355411366,2.8000000007466497e-06,3.554113661152769e-07
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B10:1514,6,4.13246059,4.13246012,4.13246097594597,4.699999998081239e-07,3.859459702937329e-07
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B10:1516,6,4.76478004,4.76478195,4.764781856305027,1.90999999993835e-06,1.8163050272690384e-06
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B10:1655,5,4.1422658,4.14226532,4.1422656739941,4.799999997473492e-07,1.2600589993638778e-07
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B10:1663,5,1.8003993,1.80039775,1.8003993494450565,1.550000000127838e-06,4.9445056493624406e-08
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B10:2287,3,6.21236086,6.21236086,6.212359412823193,0.0,1.447176807722883e-06
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B10:2363,3,14.6241093,14.6241093,14.62410615744873,0.0,3.142551269874616e-06
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B10:2847,3,21.9107914,21.9107952,21.910793850018624,3.7999999982218924e-06,2.4500186235343335e-06
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B10:2927,1,22.5371132,22.5371113,22.537111060216127,1.900000000887303e-06,2.139783873644774e-06
EXP-EMBED-C1-FUSED-XAI-EQUIV-001,B10:2981,1,21.5337658,21.5337734,21.533770942032447,7.5999999999964984e-06,5.142032446059375e-06
