feature_id,sensor_id,feature_family,response_phase,alpha_if_applicable,physical_interpretation,source_column
F083,S11,rising_transient_ema,rising,0.001,Exponential moving average of the rising transient,83
F084,S11,rising_transient_ema,rising,0.01,Exponential moving average of the rising transient,84
F085,S11,rising_transient_ema,rising,0.1,Exponential moving average of the rising transient,85
F086,S11,decaying_transient_ema,decaying,0.001,Exponential moving average of the decaying transient,86
F087,S11,decaying_transient_ema,decaying,0.01,Exponential moving average of the decaying transient,87
F088,S11,decaying_transient_ema,decaying,0.1,Exponential moving average of the decaying transient,88
F089,S12,steady_state_resistance_change,steady_state,,Absolute resistance change from baseline,89
F090,S12,normalized_resistance_response,steady_state,,Resistance change normalized to baseline,90
F091,S12,rising_transient_ema,rising,0.001,Exponential moving average of the rising transient,91
F092,S12,rising_transient_ema,rising,0.01,Exponential moving average of the rising transient,92
F093,S12,rising_transient_ema,rising,0.1,Exponential moving average of the rising transient,93
F094,S12,decaying_transient_ema,decaying,0.001,Exponential moving average of the decaying transient,94
F095,S12,decaying_transient_ema,decaying,0.01,Exponential moving average of the decaying transient,95
F096,S12,decaying_transient_ema,decaying,0.1,Exponential moving average of the decaying transient,96
F097,S13,steady_state_resistance_change,steady_state,,Absolute resistance change from baseline,97
F098,S13,normalized_resistance_response,steady_state,,Resistance change normalized to baseline,98
F099,S13,rising_transient_ema,rising,0.001,Exponential moving average of the rising transient,99
F100,S13,rising_transient_ema,rising,0.01,Exponential moving average of the rising transient,100
F101,S13,rising_transient_ema,rising,0.1,Exponential moving average of the rising transient,101
F102,S13,decaying_transient_ema,decaying,0.001,Exponential moving average of the decaying transient,102
F103,S13,decaying_transient_ema,decaying,0.01,Exponential moving average of the decaying transient,103
F104,S13,decaying_transient_ema,decaying,0.1,Exponential moving average of the decaying transient,104
F105,S14,steady_state_resistance_change,steady_state,,Absolute resistance change from baseline,105
F106,S14,normalized_resistance_response,steady_state,,Resistance change normalized to baseline,106
F107,S14,rising_transient_ema,rising,0.001,Exponential moving average of the rising transient,107
F108,S14,rising_transient_ema,rising,0.01,Exponential moving average of the rising transient,108
F109,S14,rising_transient_ema,rising,0.1,Exponential moving average of the rising transient,109
F110,S14,decaying_transient_ema,decaying,0.001,Exponential moving average of the decaying transient,110
F111,S14,decaying_transient_ema,decaying,0.01,Exponential moving average of the decaying transient,111
F112,S14,decaying_transient_ema,decaying,0.1,Exponential moving average of the decaying transient,112
F113,S15,steady_state_resistance_change,steady_state,,Absolute resistance change from baseline,113
F114,S15,normalized_resistance_response,steady_state,,Resistance change normalized to baseline,114
F115,S15,rising_transient_ema,rising,0.001,Exponential moving average of the rising transient,115
F116,S15,rising_transient_ema,rising,0.01,Exponential moving average of the rising transient,116
F117,S15,rising_transient_ema,rising,0.1,Exponential moving average of the rising transient,117
F118,S15,decaying_transient_ema,decaying,0.001,Exponential moving average of the decaying transient,118
F119,S15,decaying_transient_ema,decaying,0.01,Exponential moving average of the decaying transient,119
F120,S15,decaying_transient_ema,decaying,0.1,Exponential moving average of the decaying transient,120
F121,S16,steady_state_resistance_change,steady_state,,Absolute resistance change from baseline,121
F122,S16,normalized_resistance_response,steady_state,,Resistance change normalized to baseline,122
F123,S16,rising_transient_ema,rising,0.001,Exponential moving average of the rising transient,123
F124,S16,rising_transient_ema,rising,0.01,Exponential moving average of the rising transient,124
F125,S16,rising_transient_ema,rising,0.1,Exponential moving average of the rising transient,125
F126,S16,decaying_transient_ema,decaying,0.001,Exponential moving average of the decaying transient,126
F127,S16,decaying_transient_ema,decaying,0.01,Exponential moving average of the decaying transient,127
F128,S16,decaying_transient_ema,decaying,0.1,Exponential moving average of the decaying transient,128
