sample_id,prediction,score_0,score_1,score_2,score_3,score_4,score_5,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5
GOLD-MODEL-C1-B10-R00009,3,8.40530205,0.687744081,13.0269022,-4.92377424,-7.04217339,-10.1539955,0.00974117499,4.33429568e-06,0.990254462,1.58440905e-08,1.90483607e-09,8.48030118e-11
GOLD-MODEL-C1-B10-R00815,2,5.66723013,7.59859324,7.5907836,-2.88491321,-7.31829262,-10.6534004,0.0678226277,0.467902064,0.464262128,1.30986355e-05,1.55537094e-07,5.53879165e-09
GOLD-MODEL-C1-B10-R01737,3,1.38169384,-5.01520824,1.58511841,-0.472763419,1.5734185,0.947741628,0.235677987,0.000392807531,0.288845241,0.0368925333,0.285485476,0.152705967
GOLD-MODEL-C1-B10-R02287,3,6.21043825,0.587831318,6.21236086,-2.78293276,-5.48842573,-4.73927069,0.498581558,0.00180247449,0.499541044,6.19390848e-05,4.13984526e-06,8.75665046e-06
GOLD-MODEL-C1-B10-R02482,3,8.02804184,0.614260912,8.04718494,-1.28069305,-8.39406776,-7.01472569,0.495044261,0.000298455619,0.504612207,4.48654282e-05,3.65268313e-08,1.45095214e-07
GOLD-MODEL-C1-B10-R02540,1,2.26358056,0.0856837332,0.0993672982,-2.35181332,-2.28522706,2.1884079,0.459520549,0.0520542748,0.0527714565,0.00454846583,0.00486164121,0.426243603
GOLD-MODEL-C1-B10-R02639,2,0.185205251,41.2775345,-4.08227062,-0.567694485,6.96230984,-43.7750626,1.42504122e-18,1,1.99749868e-20,6.71193064e-19,1.25051159e-15,1.15378913e-37
GOLD-MODEL-C1-B10-R02847,3,21.9053364,3.82149243,21.9107952,-5.8012166,-19.1924896,-22.6439114,0.498635292,6.98344449e-09,0.501364708,4.62359914e-13,7.06680508e-19,2.24021933e-20
GOLD-MODEL-C1-B10-R03522,3,5.13596964,2.66004038,5.14390421,-3.89930844,-4.55638838,-4.48421478,0.477943331,0.0401877761,0.481750667,5.69383519e-05,2.95147274e-05,3.17236809e-05
GOLD-MODEL-C1-B2-R00540,1,12.8039217,1.34434795,12.8019171,-1.69599605,-11.8776474,-13.3765392,0.500498414,5.27926022e-06,0.499496102,2.52445915e-07,9.55726991e-12,2.13487561e-12
GOLD-MODEL-C1-B2-R00778,5,3.63684726,-1.43659115,1.90523446,3.17558861,3.65018559,-10.9312639,0.353709698,0.00221452536,0.0626061633,0.223010272,0.358459175,1.66646672e-07
GOLD-MODEL-C1-B6-R01461,3,1.96987569,0.368841976,1.97362089,-1.64389122,-1.11733222,-1.55111432,0.43335259,0.0874019861,0.434978634,0.0116789099,0.0197735224,0.0128142992
GOLD-MODEL-C1-B6-R01464,3,2.00268745,0.237829983,2.00402474,-1.76849806,-0.708232045,-1.76781344,0.437619448,0.0749253482,0.438205063,0.0100760777,0.0290910378,0.0100829797
GOLD-MODEL-C1-B10-R02287,3,6.21043825,0.587831318,6.21236086,-2.78293276,-5.48842573,-4.73927069,0.498581558,0.00180247449,0.499541044,6.19390848e-05,4.13984526e-06,8.75665046e-06
GOLD-MODEL-C1-B10-R02847,3,21.9053364,3.82149243,21.9107952,-5.8012166,-19.1924896,-22.6439114,0.498635292,6.98344449e-09,0.501364708,4.62359914e-13,7.06680508e-19,2.24021933e-20
